"time_month","variable","value","year","month","date","lbl","plbl","nlbl"
"2025m6","Demand-driven inflation",1.35000002384186,"2025","6",2025-06-01,,,
"2025m7","Demand-driven inflation",1.35000002384186,"2025","7",2025-07-01,,,
"2025m8","Demand-driven inflation",1.47000002861023,"2025","8",2025-08-01,,,
"2025m9","Demand-driven inflation",1.29999995231628,"2025","9",2025-09-01,,,
"2022m11","Ambiguous",0.970000028610229,"2022","11",2022-11-01,,,
"2022m12","Ambiguous",0.939999997615814,"2022","12",2022-12-01,,,
"2023m1","Ambiguous",0.759999990463257,"2023","1",2023-01-01,,,
"2023m10","Ambiguous",0.689999997615814,"2023","10",2023-10-01,,,
"2023m11","Ambiguous",0.680000007152557,"2023","11",2023-11-01,,,
"2023m12","Ambiguous",0.620000004768372,"2023","12",2023-12-01,,,
"2023m2","Ambiguous",0.730000019073486,"2023","2",2023-02-01,,,
"2023m3","Ambiguous",0.850000023841858,"2023","3",2023-03-01,,,
"2023m4","Ambiguous",0.769999980926514,"2023","4",2023-04-01,,,
"2023m5","Ambiguous",0.740000009536743,"2023","5",2023-05-01,,,
"2023m6","Ambiguous",0.670000016689301,"2023","6",2023-06-01,,,
"2023m7","Ambiguous",0.709999978542328,"2023","7",2023-07-01,,,
"2023m8","Ambiguous",0.699999988079071,"2023","8",2023-08-01,,,
"2023m9","Ambiguous",0.839999973773956,"2023","9",2023-09-01,,,
"2024m1","Ambiguous",0.699999988079071,"2024","1",2024-01-01,,,
"2024m10","Ambiguous",0.519999980926514,"2024","10",2024-10-01,,,
"2024m11","Ambiguous",0.529999971389771,"2024","11",2024-11-01,,,
"2024m12","Ambiguous",0.589999973773956,"2024","12",2024-12-01,,,
"2024m2","Ambiguous",0.660000026226044,"2024","2",2024-02-01,,,
"2024m3","Ambiguous",0.649999976158142,"2024","3",2024-03-01,,,
"2024m4","Ambiguous",0.649999976158142,"2024","4",2024-04-01,,,
"2024m5","Ambiguous",0.629999995231628,"2024","5",2024-05-01,,,
"2024m6","Ambiguous",0.660000026226044,"2024","6",2024-06-01,,,
"2024m7","Ambiguous",0.519999980926514,"2024","7",2024-07-01,,,
"2024m8","Ambiguous",0.560000002384186,"2024","8",2024-08-01,,,
"2024m9","Ambiguous",0.430000007152557,"2024","9",2024-09-01,,,
"2025m1","Ambiguous",0.540000021457672,"2025","1",2025-01-01,,,
"2025m10","Ambiguous",0.509999990463257,"2025","10",2025-10-01,"0.5","0.5",
"2025m11","Ambiguous",0.540000021457672,"2025","11",2025-11-01,"0.5","0.5",
"2025m2","Ambiguous",0.610000014305115,"2025","2",2025-02-01,,,
"2025m3","Ambiguous",0.529999971389771,"2025","3",2025-03-01,,,
"2025m4","Ambiguous",0.46000000834465,"2025","4",2025-04-01,,,
"2025m5","Ambiguous",0.479999989271164,"2025","5",2025-05-01,,,
"2025m6","Ambiguous",0.490000009536743,"2025","6",2025-06-01,,,
"2025m7","Ambiguous",0.519999980926514,"2025","7",2025-07-01,,,
"2025m8","Ambiguous",0.579999983310699,"2025","8",2025-08-01,,,
"2025m9","Ambiguous",0.589999973773956,"2025","9",2025-09-01,,,
"2022m11","Supply-driven inflation",2.34999990463257,"2022","11",2022-11-01,,,
"2022m12","Supply-driven inflation",2.23000001907349,"2022","12",2022-12-01,,,
"2023m1","Supply-driven inflation",2.08999991416931,"2023","1",2023-01-01,,,
"2023m10","Supply-driven inflation",1.4099999666214,"2023","10",2023-10-01,,,
"2023m11","Supply-driven inflation",1.32000005245209,"2023","11",2023-11-01,,,
"2023m12","Supply-driven inflation",1.22000002861023,"2023","12",2023-12-01,,,
"2023m2","Supply-driven inflation",2.07999992370605,"2023","2",2023-02-01,,,
"2023m3","Supply-driven inflation",2.02999997138977,"2023","3",2023-03-01,,,
"2023m4","Supply-driven inflation",2.05999994277954,"2023","4",2023-04-01,,,
"2023m5","Supply-driven inflation",2.07999992370605,"2023","5",2023-05-01,,,
"2023m6","Supply-driven inflation",1.91999995708466,"2023","6",2023-06-01,,,
"2023m7","Supply-driven inflation",2,"2023","7",2023-07-01,,,
"2023m8","Supply-driven inflation",1.70000004768372,"2023","8",2023-08-01,,,
"2023m9","Supply-driven inflation",1.50999999046326,"2023","9",2023-09-01,,,
"2024m1","Supply-driven inflation",1.28999996185303,"2024","1",2024-01-01,,,
"2024m10","Supply-driven inflation",1.20000004768372,"2024","10",2024-10-01,,,
"2024m11","Supply-driven inflation",1.17999994754791,"2024","11",2024-11-01,,,
"2024m12","Supply-driven inflation",1.05999994277954,"2024","12",2024-12-01,,,
"2024m2","Supply-driven inflation",1.29999995231628,"2024","2",2024-02-01,,,
"2024m3","Supply-driven inflation",1.22000002861023,"2024","3",2024-03-01,,,
"2024m4","Supply-driven inflation",1.25999999046326,"2024","4",2024-04-01,,,
