"date","Series","Value","lbl","plbl","nlbl"
2023-12-01,"Fourth",0.980345321117566,,,
2024-01-01,"Fourth",0.789924837522441,,,
2024-02-01,"Fourth",0.660949439867095,,,
2024-03-01,"Fourth",0.786263861324029,,,
2024-04-01,"Fourth",0.554680880377118,,,
2024-05-01,"Fourth",0.688693521644946,,,
2024-06-01,"Fourth",0.79369735438268,,,
2024-07-01,"Fourth",0.732951648249067,,,
2024-08-01,"Fourth",0.438368821745308,,,
2024-09-01,"Fourth",0.203900143140277,,,
2024-10-01,"Fourth",0.620055887159776,,,
2024-11-01,"Fourth",0.914382825763456,,,
2024-12-01,"Fourth",1.13666063003974,,,
2025-01-01,"Fourth",0.913743385050249,,,
2025-02-01,"Fourth",0.618926331961119,,,
2025-03-01,"Fourth",0.412866871276909,,,
2025-04-01,"Fourth",0.325642049250493,,,
2025-05-01,"Fourth",0.444620268402059,,,
2025-06-01,"Fourth",0.512507806058582,,,
2025-07-01,"Fourth",0.618892892123823,,,
2025-08-01,"Fourth",0.610966657593575,,,
2025-09-01,"Fourth",0.663635325237969,,,
2025-10-01,"Fourth",0.74764569943144,"0.7","0.7",
2025-11-01,"Fourth",1.03523182439851,"1.0","1.0",
